x,y,z
-138.191,-76.7717,-1498.0
-95.3073,-45.1018,-1498.0
-122.758,-93.8187,-1502.0
-99.6161,-76.4508,-1502.0
-87.0965,-57.3291,-1502.0
-105.587,-76.4199,-1502.0
-127.929,-90.088,-1502.0
-91.4908,-61.0666,-1502.0
-101.238,-62.5919,-1502.0
-138.821,-103.54899999999999,-1502.0
-90.1878,-70.4164,-1502.0
-115.265,-88.8675,-1502.0
-144.52100000000002,-90.3019,-1502.0
-66.2739,-54.532,-1502.5
-61.4013,-50.8964,-1502.5
-47.3517,-43.3682,-1502.5
-46.6926,-42.1478,-1502.5
-45.7991,-40.5956,-1502.5
-56.2186,-55.9386,-1502.5
-64.3066,-47.8545,-1502.5
-47.0426,-41.1316,-1502.5
-41.6442,-46.3184,-1502.5
-46.6619,-45.475,-1502.5
-54.1236,-55.7931,-1502.5
-40.2563,-40.0698,-1502.5
-55.827,-38.5738,-1502.5
-46.9508,-42.1053,-1502.5
-57.6119,-40.8873,-1502.5
-60.4894,-40.9777,-1502.5
-72.2213,-57.902,-1502.5
-40.9193,-42.4115,-1502.5
-67.5589,-66.479,-1502.5
-45.547,-36.0405,-1502.5
-58.7755,-43.5907,-1502.5
-63.0783,-64.0988,-1502.5
-49.9896,-35.4293,-1502.5
-54.2046,-44.0923,-1502.5
-30.1281,-21.2934,-1502.5
-73.456,-55.9318,-1502.5
-56.7708,-41.9442,-1502.5
-114.988,-88.5632,-1498.0
-126.902,-114.59200000000001,-1498.0
-89.9553,-70.1811,-1498.0
-108.95700000000001,-87.9745,-1498.0
-95.8943,-76.4125,-1498.0
-116.92399999999999,-101.024,-1498.0
-109.51899999999999,-88.181,-1498.0
-98.3814,-86.8616,-1498.0
-108.26700000000001,-92.0595,-1498.0
-86.69200000000001,-77.5449,-1498.0
-124.411,-95.6081,-1498.0
-117.166,-103.89,-1498.0
-99.318,-76.3118,-1498.0
-123.35,-108.505,-1498.0
-122.431,-93.5737,-1498.0
-35.7557,-44.8286,-1498.0
-40.7781,-42.2404,-1498.0
-63.6664,-75.5831,-1498.0
-34.9388,-38.9449,-1498.0
-43.5893,-62.6233,-1498.0
-67.3639,-66.2854,-1498.0
-39.0154,-57.6529,-1498.0
-47.2246,-43.2442,-1498.0
-41.4638,-46.1998,-1498.0
-40.1123,-39.998000000000005,-1498.0
-56.3628,-65.184,-1498.0
-54.7206,-61.1055,-1498.0
-49.217,-55.8935,-1498.0
-53.5362,-69.9582,-1498.0
-46.8011,-41.9785,-1498.0
-46.5395,-41.9801,-1498.0
-53.9697,-55.607,-1498.0
-44.2115,-51.9575,-1498.0
-56.0601,-55.7449,-1498.0
-46.4446,-61.886,-1498.0
-46.5485,-45.3012,-1498.0
-86.9277,-77.7707,-1502.0
-85.9175,-91.0002,-1502.0
-98.6366,-87.0754,-1502.0
-105.01799999999999,-106.538,-1502.0
-70.01899999999999,-77.97399999999999,-1502.0
-95.8773,-92.9428,-1502.0
-103.699,-114.695,-1502.0
-82.7514,-94.5954,-1502.0
-69.7965,-77.7719,-1498.0
-92.5764,-105.57600000000001,-1498.0
-82.5611,-94.2981,-1498.0
-106.631,-131.267,-1498.0
-68.0426,-92.3891,-1498.0
-113.96600000000001,-133.292,-1498.0
-103.44,-114.355,-1498.0
-84.1793,-113.774,-1498.0
-69.3298,-82.0427,-1498.0
-64.4418,-85.5483,-1498.0
-46.6002,-62.0255,-1502.0
-39.1465,-57.8047,-1502.0
-47.9289,-84.419,-1502.0
-26.9301,-48.2043,-1502.0
-49.2497,-73.516,-1502.0
-35.6963,-68.8252,-1502.0
-35.8336,-44.9345,-1502.0
-27.4782,-58.093999999999994,-1502.0
-37.7028,-57.6497,-1502.0
-15.5859,-34.9555,-1502.0
-39.0044,-78.4341,-1502.0
-42.0236,-64.2221,-1502.0
-35.3865,-43.9692,-1502.0
-43.5532,-76.4791,-1502.0
-39.2324,-59.8587,-1502.0
-43.6804,-62.81100000000001,-1502.0
-46.9853,-70.5008,-1502.0
-39.9138,-75.3248,-1502.0
-64.5732,-85.816,-1502.0
-76.7393,-115.255,-1502.0
-80.4612,-112.637,-1502.0
-67.9504,-103.11200000000001,-1502.0
-68.227,-92.654,-1502.0
-66.1695,-96.1089,-1502.0
-59.2819,-98.9194,-1502.0
-53.4167,-89.8447,-1502.0
-64.5861,-101.84899999999999,-1502.0
-79.2466,-111.914,-1502.0
-67.3033,-107.67299999999999,-1502.0
-73.1888,-114.14200000000001,-1502.0
-82.6868,-135.173,-1502.0
-64.3644,-101.633,-1498.0
-75.2777,-136.023,-1498.0
-67.7695,-133.024,-1498.0
-69.0457,-132.643,-1498.0
-67.0674,-107.411,-1498.0
-85.9892,-143.745,-1498.0
-82.4957,-134.80200000000002,-1498.0
-53.3017,-89.5811,-1498.0
-72.9478,-113.85799999999999,-1498.0
-16.6088,-60.0224,-1497.5
-39.7856,-75.0805,-1497.5
-28.2237,-75.9121,-1497.5
-26.8771,-48.0977,-1497.5
-27.3801,-57.9353,-1497.5
-37.9688,-69.8194,-1497.5
-32.3453,-81.9372,-1497.5
-17.8748,-65.0385,-1497.5
-29.3792,-68.2491,-1497.5
-38.8603,-78.2036,-1497.5
-34.6586,-78.251,-1497.5
-25.6006,-51.5489,-1497.5
-34.9618,-91.2647,-1497.5
-23.4692,-60.3834,-1497.5
-35.5861,-68.6006,-1497.5
-50.7386,-117.07799999999999,-1502.0
-46.5609,-109.102,-1502.0
-50.4134,-119.189,-1502.0
-49.6466,-118.44200000000001,-1502.0
-67.8916,-133.39700000000002,-1502.0
-61.333,-136.164,-1502.0
-31.2971,-112.337,-1498.0
-38.0558,-110.475,-1498.0
-26.3808,-101.445,-1498.0
-55.2622,-155.562,-1498.0
-56.0817,-141.939,-1498.0
-17.9583,-65.2705,-1502.5
-16.2436,-99.4656,-1502.5
-21.0685,-74.5844,-1502.5
-13.5212,-64.1375,-1502.5
-12.1079,-52.8963,-1502.5
-8.050419999999999,-68.7655,-1502.5
-16.6398,-60.2072,-1502.5
-17.0235,-86.4361,-1502.5
-14.4559,-60.9629,-1502.5
-13.6456,-70.0103,-1502.5
-11.1034,-64.7758,-1502.5
-19.4506,-93.5472,-1502.5
-38.9278,-169.114,-1502.0
-26.4622,-101.7,-1502.0
-29.2077,-149.122,-1502.0
-25.7418,-114.163,-1502.0
-32.2255,-132.974,-1502.0
-31.3938,-112.62200000000001,-1502.0
-43.9121,-159.514,-1502.0
-24.7688,-116.29799999999999,-1502.0
-31.9002,-141.2,-1502.0
-7.691210000000001,-79.5637,-1498.0
-0.046125599999999996,-65.2695,-1498.0
-8.03107,-68.5875,-1498.0
-3.31935,-57.7896,-1498.0
-4.62287,-99.2061,-1498.0
-2.63598,-89.8922,-1498.0
-6.4549199999999995,-83.6107,-1498.0
1.7602900000000001,-75.4551,-1498.0
-16.1543,-99.1538,-1498.0
-1.18639,-82.3071,-1498.0
-6.67178,-76.8071,-1498.0
-2.1253599999999997,-71.9331,-1498.0
-11.0753,-64.5707,-1498.0
-0.514682,-56.5657,-1498.0
-10.9226,-97.6808,-1498.0
-12.0969,-52.6977,-1498.0
1.19239,-66.73899999999999,-1498.0
-13.5961,-69.8352,-1498.0
-17.2685,-132.299,-1498.0
-22.0246,-143.594,-1498.0
-15.9071,-107.70100000000001,-1498.0
-17.3367,-170.06400000000002,-1498.0
-17.9993,-151.65200000000002,-1498.0
-8.00116,-106.759,-1498.0
-10.9444,-107.95299999999999,-1498.0
-29.1035,-148.74,-1498.0
-18.500999999999998,-134.62,-1498.0
-3.05602,-104.53399999999999,-1502.0
-10.9738,-120.975,-1502.0
-10.985999999999999,-108.249,-1502.0
-7.97682,-107.036,-1502.0
-5.36902,-137.24200000000002,-1502.0
-5.814430000000001,-129.553,-1502.0
-9.77024,-156.812,-1502.0
-8.066469999999999,-120.885,-1502.0
-4.97866,-128.798,-1502.0
-3.29081,-57.9198,-1502.0
-0.0403266,-65.4455,-1502.0
-2.1223799999999997,-72.1288,-1502.0
10.7845,-62.788000000000004,-1502.0
5.9408900000000004,-56.6865,-1502.0
7.703930000000001,-77.8136,-1502.0
12.8493,-76.2779,-1502.0
12.5994,-89.6723,-1502.0
4.82848,-59.7585,-1502.0
9.9691,-56.2506,-1502.0
12.7787,-76.6557,-1502.0
3.10644,-72.928,-1502.0
-1.22767,-82.5226,-1502.0
-0.525008,-56.738,-1502.0
7.0157,-75.4415,-1502.0
10.7289,-95.8568,-1502.0
7.379160000000001,-74.9615,-1502.0
5.51463,-61.4668,-1502.0
1.1798600000000001,-66.9294,-1502.0
1.76423,-75.6291,-1502.0
12.2472,-71.8136,-1502.0
2.2221599999999997,-88.4577,-1502.0
5.76999,-166.956,-1498.0
6.5223,-137.286,-1498.0
-3.01227,-104.279,-1498.0
3.3597300000000003,-142.5,-1498.0
7.57,-166.35,-1498.0
22.1951,-105.006,-1502.0
24.7228,-173.43200000000002,-1502.0
23.0733,-160.88299999999998,-1502.0
16.0944,-111.215,-1502.0
18.9702,-170.555,-1502.0
24.1866,-120.006,-1502.0
27.5325,-151.231,-1502.0
12.7651,-76.4094,-1497.5
23.5397,-93.445,-1497.5
17.4963,-70.4142,-1497.5
12.1784,-71.6094,-1497.5
5.93553,-56.5294,-1497.5
17.5447,-80.4682,-1497.5
19.2951,-94.6129,-1497.5
13.6586,-42.0065,-1497.5
18.3695,-93.7564,-1497.5
17.6665,-83.3314,-1497.5
18.7984,-60.8449,-1497.5
17.0121,-57.6882,-1497.5
10.7858,-62.596000000000004,-1497.5
27.0986,-88.9922,-1497.5
17.9938,-65.2042,-1497.5
12.5142,-76.0068,-1497.5
20.785,-71.4758,-1497.5
15.1202,-82.1494,-1497.5
20.2911,-89.3377,-1497.5
22.1718,-57.8956,-1497.5
9.94319,-56.0879,-1497.5
32.7489,-139.786,-1498.0
31.351,-118.555,-1498.0
24.069000000000003,-119.697,-1498.0
36.0234,-120.295,-1498.0
36.5335,-134.257,-1498.0
33.8227,-166.899,-1498.0
23.2229,-104.525,-1498.0
33.545,-172.653,-1498.0
35.5569,-118.09299999999999,-1498.0
28.1905,-120.509,-1498.0
37.7474,-126.939,-1498.0
31.011999999999997,-100.516,-1498.0
22.1393,-104.72200000000001,-1498.0
27.5165,-150.815,-1498.0
20.8475,-71.7221,-1502.5
29.2552,-57.8892,-1502.5
30.5674,-80.7862,-1502.5
29.245,-71.7142,-1502.5
18.8683,-61.0348,-1502.5
24.9031,-59.053000000000004,-1502.5
33.9168,-93.7067,-1502.5
23.3845,-73.3752,-1502.5
17.0749,-57.881,-1502.5
18.047,-65.4542,-1502.5
29.8742,-51.5443,-1502.5
22.2351,-58.0572,-1502.5
36.0777,-88.7324,-1502.5
40.4549,-83.7518,-1502.5
30.2578,-83.9587,-1502.5
26.307,-73.1138,-1502.5
31.4324,-118.87700000000001,-1502.0
35.4636,-111.23700000000001,-1502.0
56.6431,-158.065,-1502.0
44.3852,-142.418,-1502.0
52.4431,-146.006,-1502.0
37.8852,-127.273,-1502.0
34.9459,-106.546,-1502.0
36.5994,-134.607,-1502.0
48.2748,-120.825,-1502.0
36.0765,-120.618,-1502.0
33.9246,-114.197,-1502.0
35.6059,-118.427,-1502.0
60.0279,-159.35299999999998,-1502.0
31.1133,-100.775,-1502.0
41.0254,-136.485,-1502.0
78.0411,-156.012,-1498.0
52.3529,-101.42399999999999,-1498.0
50.2657,-109.447,-1498.0
48.1552,-120.51100000000001,-1498.0
65.7796,-132.327,-1498.0
51.3505,-100.26700000000001,-1498.0
41.7484,-74.6823,-1498.0
50.3559,-72.9389,-1498.0
29.1364,-57.7376,-1498.0
41.0317,-70.8333,-1498.0
33.3372,-49.9516,-1498.0
25.5537,-32.0931,-1498.0
38.9323,-53.1084,-1498.0
40.7194,-57.5006,-1498.0
34.6132,-48.312,-1498.0
43.068999999999996,-62.1961,-1498.0
35.3916,-44.4045,-1498.0
37.2364,-52.7739,-1498.0
29.7739,-51.4095,-1498.0
41.2774,-51.617,-1498.0
57.202,-95.5528,-1502.0
78.2431,-132.099,-1502.0
65.8931,-132.737,-1502.0
51.5095,-100.54299999999999,-1502.0
52.49,-101.68700000000001,-1502.0
53.8834,-91.9613,-1502.0
71.623,-99.9414,-1498.0
53.7264,-91.7462,-1498.0
76.4564,-119.266,-1498.0
87.6201,-124.061,-1498.0
61.2264,-72.3414,-1502.0
43.1677,-48.0407,-1502.0
48.937,-51.6392,-1502.0
34.6755,-48.4142,-1502.0
39.2476,-45.6065,-1502.0
69.8756,-69.6882,-1502.0
33.409,-50.0877,-1502.0
61.2683,-67.2321,-1502.0
65.9571,-67.4868,-1502.0
39.7009,-41.9029,-1502.0
70.1836,-71.1265,-1502.0
43.7453,-43.4049,-1502.0
49.3721,-55.6131,-1502.0
43.145,-62.411,-1502.0
43.5033,-53.7459,-1502.0
41.3375,-51.748999999999995,-1502.0
50.552,-46.9861,-1502.0
35.5,-44.5292,-1502.0
57.8535,-60.2512,-1502.0
37.6738,-40.4534,-1502.0
64.1715,-70.6394,-1502.0
37.3174,-52.8932,-1502.0
53.8903,-60.7822,-1502.0
45.2617,-48.8757,-1502.0
40.8092,-57.6744,-1502.0
69.2092,-85.8891,-1502.0
98.4798,-117.929,-1502.0
70.863,-77.4713,-1502.0
81.2891,-92.06200000000001,-1502.0
69.8906,-83.0312,-1502.0
66.3317,-91.7571,-1502.0
99.7289,-121.915,-1502.0
86.0869,-81.8796,-1498.0
75.5212,-76.0515,-1498.0
80.57,-82.161,-1498.0
70.65100000000001,-77.2625,-1498.0
85.7463,-80.7612,-1498.0
104.86,-105.319,-1498.0
107.10700000000001,-104.809,-1498.0
113.10799999999999,-111.09299999999999,-1498.0
81.0897,-91.8023,-1498.0
82.7558,-75.5787,-1498.0
83.6927,-80.0511,-1498.0
64.8242,-48.3623,-1497.5
66.4894,-45.905,-1497.5
55.6117,-43.9133,-1497.5
57.6555,-60.0591,-1497.5
50.3723,-46.8687,-1497.5
54.552,-38.1424,-1497.5
51.413999999999994,-41.6432,-1497.5
48.5598,-31.9067,-1497.5
44.3059,-36.8874,-1497.5
67.9755,-51.7112,-1497.5
75.9818,-62.3335,-1497.5
59.8509,-56.0162,-1497.5
58.0349,-43.4185,-1497.5
25.5324,-32.0186,-1497.5
66.8694,-54.8433,-1497.5
39.5474,-41.7659,-1497.5
69.6702,-69.4658,-1497.5
43.644,-43.2921,-1497.5
45.1159,-48.7575,-1497.5
37.5783,-40.3471,-1497.5
48.7754,-51.4884,-1497.5
115.82,-88.4746,-1502.0
109.555,-83.2067,-1502.0
114.435,-95.4477,-1502.0
82.9487,-75.8013,-1502.0
124.49600000000001,-114.20100000000001,-1502.0
91.334,-70.546,-1502.0
86.3302,-82.1188,-1502.0
83.8976,-80.2937,-1502.0
128.863,-106.064,-1502.0
129.287,-99.0071,-1502.0
117.97200000000001,-93.5759,-1502.0
85.9665,-80.9719,-1502.0
97.2514,-69.9355,-1502.0
126.921,-105.182,-1502.0
55.8071,-44.0211,-1502.5
57.2292,-31.5809,-1502.5
51.1475,-28.9096,-1502.5
50.8171,-22.9017,-1502.5
65.0412,-48.5069,-1502.5
32.3397,-12.9861,-1502.5
66.6854,-46.078,-1502.5
48.7261,-31.9998,-1502.5
56.8517,-27.2447,-1502.5
58.226000000000006,-43.5682,-1502.5
60.5112,-30.4255,-1502.5
54.7227,-38.2548,-1502.5
47.2369,-27.2169,-1502.5
67.8201,-46.2222,-1502.5
68.3939,-36.077,-1502.5
54.9691,-27.733,-1502.5
67.6706,-36.3961,-1502.5
86.6005,-52.3068,-1502.5
78.0735,-49.4561,-1502.5
60.9776,-38.9211,-1502.5
63.7211,-35.09,-1502.5
64.2693,-40.7624,-1502.5
58.7304,-27.5163,-1502.5
60.9569,-40.785,-1502.5
55.3661,-28.2695,-1502.5
68.2625,-47.8892,-1502.5
44.4665,-37.0129,-1502.5
96.9982,-69.7484,-1498.0
109.302,-82.9407,-1498.0
122.45700000000001,-87.2274,-1498.0
102.661,-65.3242,-1498.0
90.5433,-55.0842,-1498.0
109.81299999999999,-70.1628,-1498.0
95.8686,-67.217,-1498.0
122.811,-84.3399,-1498.0
108.82600000000001,-73.1842,-1498.0
115.536,-88.2044,-1498.0
94.7413,-60.566,-1498.0
91.0635,-70.3497,-1498.0
149.148,-76.6362,-1502.0
95.0156,-60.7687,-1502.0
87.6824,-56.4794,-1502.0
117.719,-70.0618,-1502.0
110.11399999999999,-70.347,-1502.0
90.7658,-55.2207,-1502.0
102.96700000000001,-65.4508,-1502.0
57.0592,-23.1747,-1498.0
50.99100000000001,-28.7791,-1498.0
80.6045,-37.4735,-1498.0
81.2103,-31.0136,-1498.0
68.1822,-36.0082,-1498.0
31.9531,-12.9377,-1498.0
69.0645,-31.2323,-1498.0
91.3988,-37.8028,-1498.0
57.3876,-23.9089,-1498.0
86.1977,-29.6158,-1498.0
50.6758,-22.8577,-1498.0
56.6772,-27.1837,-1498.0
57.0747,-31.5155,-1498.0
61.4279,-16.5927,-1498.0
67.4942,-36.2644,-1498.0
91.6469,-31.9812,-1498.0
63.5627,-34.9606,-1498.0
87.8357,-37.6545,-1498.0
55.1827,-21.5315,-1498.0
63.5271,-25.0961,-1498.0
58.5835,-27.4321,-1498.0
55.2172,-28.2025,-1498.0
54.8839,-18.4311,-1498.0
81.531,-34.5019,-1498.0
70.4835,-29.2764,-1498.0
54.7929,-27.6479,-1498.0
65.6107,-18.7071,-1498.0
60.3555,-30.3565,-1498.0
47.1405,-27.13,-1498.0
69.1791,-29.9267,-1498.0
118.62200000000001,-51.4202,-1498.0
99.184,-37.3718,-1498.0
143.477,-59.6071,-1498.0
122.266,-61.3369,-1498.0
114.189,-49.9003,-1498.0
116.458,-52.979,-1498.0
120.18799999999999,-53.8609,-1498.0
152.356,-71.3478,-1498.0
133.501,-54.7653,-1498.0
97.9492,-42.6749,-1498.0
96.2785,-41.4453,-1498.0
120.79700000000001,-55.2228,-1498.0
123.79299999999999,-51.4077,-1498.0
105.155,-40.2815,-1498.0
99.4681,-37.4779,-1502.0
110.65,-39.6965,-1502.0
149.58100000000002,-56.5416,-1502.0
164.888,-53.3401,-1502.0
158.393,-47.7713,-1502.0
105.42200000000001,-40.4227,-1502.0
159.387,-51.8129,-1502.0
120.22399999999999,-38.7395,-1502.0
89.6697,-21.6563,-1502.0
70.6628,-14.625,-1502.0
63.8604,-7.59271,-1502.0
32.3017,-12.9742,-1502.0
64.5974,-17.6298,-1502.0
65.1821,-11.0981,-1502.0
61.5952,-16.6131,-1502.0
60.8151,-10.9752,-1502.0
55.0218,-18.4802,-1502.0
64.813,-17.2776,-1502.0
92.9809,-23.7368,-1502.0
69.3373,-14.5125,-1502.0
68.6263,-9.559619999999999,-1502.0
86.4043,-23.7005,-1502.0
58.2132,-10.2477,-1502.0
99.2589,-20.719,-1502.0
55.3723,-21.5982,-1502.0
55.4702,-9.38354,-1502.0
62.6741,-10.7017,-1502.0
65.808,-18.7558,-1502.0
109.279,-26.6011,-1498.0
124.663,-22.5146,-1498.0
133.145,-26.1019,-1498.0
145.33,-27.1186,-1498.0
113.617,-27.0049,-1498.0
147.57299999999998,-26.6703,-1498.0
151.903,-39.708,-1498.0
141.119,-40.3541,-1498.0
60.6336,-10.9159,-1497.5
73.8402,-0.1188,-1497.5
77.7196,-1.7281400000000002,-1497.5
56.8464,-4.54914,-1497.5
68.4225,-9.522730000000001,-1497.5
72.8331,-1.44387,-1497.5
73.6414,-0.00284476,-1497.5
100.03399999999999,-5.89174,-1497.5
75.2139,1.57865,-1497.5
89.079,-12.2518,-1497.5
96.5494,-12.7896,-1497.5
63.6599,-7.5931,-1497.5
62.5138,-10.6626,-1497.5
80.9938,-4.54371,-1497.5
67.4274,-2.02152,-1497.5
59.9731,-1.38471,-1497.5
55.2865,-9.34153,-1497.5
58.4909,-5.02965,-1497.5
64.9895,-11.1083,-1497.5
58.0371,-10.2445,-1497.5
89.8119,-12.2593,-1497.5
93.3126,-10.0773,-1497.5
93.4809,-9.38837,-1497.5
81.1803,-8.5206,-1497.5
145.716,-27.1671,-1502.0
125.00399999999999,-22.5614,-1502.0
172.917,-20.2083,-1502.0
149.657,-23.3398,-1502.0
123.569,-10.0432,-1502.0
155.68200000000002,-17.0469,-1502.0
108.917,-9.917639999999999,-1502.0
133.525,-26.1733,-1502.0
169.524,-23.1174,-1502.0
118.72200000000001,-15.4756,-1502.0
168.61599999999999,-20.5676,-1502.0
156.069,-13.3651,-1502.0
147.94799999999998,-26.7211,-1502.0
141.141,-8.402330000000001,-1498.0
170.727,-6.0662199999999995,-1498.0
161.08,-5.8705,-1498.0
155.655,-13.3779,-1498.0
158.724,-11.818,-1498.0
123.227,-9.9767,-1498.0
129.274,-1.99744,-1498.0
137.32399999999998,1.93497,-1498.0
108.527,-9.84764,-1498.0
165.062,-7.40605,-1498.0
105.104,-2.2814799999999997,-1498.0
74.0841,-0.112776,-1502.5
94.4069,3.3423800000000004,-1502.5
76.6883,12.681,-1502.5
67.633,-2.02482,-1502.5
77.9885,-1.71137,-1502.5
60.1328,-1.36123,-1502.5
82.3578,4.45044,-1502.5
75.42399999999999,1.5976299999999999,-1502.5
96.2166,5.440840000000001,-1502.5
96.7208,7.637169999999999,-1502.5
73.061,-1.44716,-1502.5
62.2129,4.46995,-1502.5
68.5369,9.43142,-1502.5
73.9641,-0.021911,-1502.5
69.3727,5.28421,-1502.5
55.4081,10.6551,-1502.5
82.9261,14.175,-1502.5
89.6388,4.42161,-1502.5
129.625,-1.94055,-1502.0
115.42399999999999,10.4669,-1502.0
175.255,9.829369999999999,-1502.0
150.731,5.592230000000001,-1502.0
122.911,12.8652,-1502.0
105.391,-2.2601,-1502.0
152.124,13.9655,-1502.0
109.399,9.2373,-1502.0
139.885,5.29104,-1502.0
119.493,20.1268,-1498.0
125.06299999999999,25.8007,-1498.0
115.09299999999999,10.4763,-1498.0
146.309,25.476999999999997,-1498.0
173.36700000000002,20.9536,-1498.0
172.054,19.1288,-1498.0
109.09299999999999,9.18495,-1498.0
173.393,16.6904,-1498.0
122.556,12.8299,-1498.0
160.189,30.7511,-1498.0
102.944,20.6958,-1498.0
151.703,13.9677,-1498.0
96.5666,24.2377,-1498.0
79.5729,27.5111,-1498.0
80.0939,25.0651,-1498.0
57.1096,20.6269,-1498.0
69.6092,19.7198,-1498.0
68.313,9.38157,-1498.0
76.456,12.6735,-1498.0
31.7338,13.9691,-1498.0
54.2868,7.21882,-1498.0
85.7701,19.0747,-1498.0
53.7887,15.6645,-1498.0
82.66799999999999,14.1648,-1498.0
81.0358,28.0165,-1498.0
63.1575,22.1817,-1498.0
50.3496,13.6048,-1498.0
51.8931,18.5004,-1498.0
62.6078,19.1702,-1498.0
55.2878,10.6253,-1498.0
61.6194,19.5499,-1498.0
66.796,20.2785,-1498.0
